"code CNIS";"sigle type formation";"libellé type formation";"libellé formation principal";"sigle formation";durée;"code RNCP";"niveau RNCP";"libellé niveau RNCP";tutelle;"lien site onisep.fr";domaine/sous-domaine
335;"BP JEPS";"brevet professionnel de la jeunesse, de l'éducation populaire et du sport";"BP JEPS spécialité activités nautiques mention canoë-kayak eau calme et rivière d'eau vive"" (mention plurivalente groupe B)""";;"1 an";;4;"niveau 4 (bac ou équivalent)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.6299;"santé - social - sport/sport"
335;DESJEPS;"diplôme d'Etat supérieur de la jeunesse, de l'éducation populaire et du sport";"DESJEPS spécialité performance sportive mention athlétisme : sprint, haies, relais";;"2 ans";4911;2;"niveau 6 (bac + 3)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.6394;"santé - social - sport/sport"
335;DESJEPS;"diplôme d'Etat supérieur de la jeunesse, de l'éducation populaire et du sport";"DESJEPS spécialité performance sportive mention motocyclisme";;"2 ans";4911;2;"niveau 6 (bac + 3)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.6398;"santé - social - sport/sport"
335;DEJEPS;"diplôme d'Etat de la jeunesse, de l'éducation populaire et du sport";"DEJEPS perfectionnement sportif mention basket-ball";;"2 ans";4863;3;"niveau 5 (bac + 2)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.6481;"santé - social - sport/sport"
240;CAP;"Certificat d'aptitude professionnelle";"CAP métiers de l'entretien des textiles option B pressing";;"2 ans";35808;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.6844;"environnement - énergies - propreté/propreté| matières premières, fabrication, industries/textile - habillement"
233;TP;"titre professionnel";"TP Solier moquettiste";;"1 an";317;5;"niveau 3 (niveau CAP)";"Ministère du travail, de l'emploi et du dialogue social";http://www.onisep.fr/http/redirection/formation/slug/FOR.707;"construction - architecture - travaux publics/finition"
136;DU;"diplôme d'université";"DU Etudes hispaniques : préparation au CAPES Espagnol";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7082;"lettres, langues - enseignement/langues"
324;;"formation d'école spécialisée";"assistant et attaché de direction";;"1 an";35621;3;"niveau 5 (bac + 2)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7169;"gestion des entreprises, comptabilité/secrétariat"
334;;"formation d'école spécialisée";"Employé qualifié de restauration";;"2 ans";31318;5;"niveau 3 (niveau CAP)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7361;"hôtellerie - restauration - tourisme/restauration"
312;;"formation d'école spécialisée";"manager du développement commercial (IPAC)";;"2 ans";36149;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7445;"gestion des entreprises, comptabilité/administration de l'entreprise| banque - assurances - immobilier/assurances| banque - assurances - immobilier/banque| commerce, marketing, vente/commerce international| banque - assurances - immobilier/finances| banque - assurances - immobilier/immobilier"
312;;"formation d'école spécialisée";"Manager du développement commercial";;"2 ans";34994;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7446;"commerce, marketing, vente/marketing - vente"
312;;"formation d'école spécialisée";"Manager en marketing du luxe";;"2 ans";36015;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7441;"commerce, marketing, vente/marketing - vente"
255;TP;"titre professionnel";"TP agent de montage et de câblage en électronique";AMCE;"1 an";36176;5;"niveau 3 (niveau CAP)";"Ministère du travail, de l'emploi et du dialogue social";http://www.onisep.fr/http/redirection/formation/slug/FOR.7503;"électricité - électronique - robotique/électronique"
345;;"formation d'école spécialisée";"Certificat d'aptitude à la profession d'avocat";CAPA;"2 ans";;0;"non inscrit au RNCP";"Ministère de la Justice";http://www.onisep.fr/http/redirection/formation/slug/FOR.797;"économie - droit - politique/activité judiciaire| économie - droit - politique/droit (généralités)| économie - droit - politique/droit privé| économie - droit - politique/droit public| économie - droit - politique/droit social"
336;CAP;"Certificat d'aptitude professionnelle";"CAP Taxidermiste";;"2 ans";34672;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.871;"arts, culture, artisanat/artisanat d'art| sciences/biologie"
344;;"formation de fonctionnaires (après concours)";"Formation d'inspecteur des douanes spécialité programmeur système d'exploitation";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.6178;"informatique, internet/développement - programmation -  logiciel| informatique, internet/systèmes et réseaux| logistique - transport/transport"
335;DESJEPS;"diplôme d'Etat supérieur de la jeunesse, de l'éducation populaire et du sport";"DESJEPS spécialité performance sportive mention canoë-kayak et disciplines associées en eau vive et en mer";;"2 ans";4911;2;"niveau 6 (bac + 3)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.6358;"santé - social - sport/sport"
335;DESJEPS;"diplôme d'Etat supérieur de la jeunesse, de l'éducation populaire et du sport";"DESJEPS spécialité performance sportive mention roller-skating";;"2 ans";4911;2;"niveau 6 (bac + 3)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.6363;"santé - social - sport/sport"
335;DEJEPS;"diplôme d'Etat de la jeunesse, de l'éducation populaire et du sport";"DEJEPS perfectionnement sportif mention haltérophilie, musculation et force athlétique";;"2 ans";4863;3;"niveau 5 (bac + 2)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.6445;"santé - social - sport/sport"
335;DEJEPS;"diplôme d'Etat de la jeunesse, de l'éducation populaire et du sport";"DEJEPS perfectionnement sportif mention sport automobile rallye";;"2 ans";4863;3;"niveau 5 (bac + 2)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.6449;"santé - social - sport/sport"
250;"mastère spé.";"mastère spécialisé";"mastère spé. Technologies des systèmes hybrides de production d'électricité et de chaleur";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.645;"environnement - énergies - propreté/énergies| sciences/physique"
211;CS;"certificat de spécialisation (agriculture)";"CS Conduite de productions maraîchères";;"1 an";34740;4;"niveau 4 (bac ou équivalent)";"Ministère de l'Agriculture et de l'Alimentation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6598;"agriculture, animaux/cultures"
323;;"formation d'école spécialisée";"audio production";;"2 ans";;3;"niveau 5 (bac + 2)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.6628;"arts, culture, artisanat/arts du spectacle| information-communication, audiovisuel/audiovisuel| électricité - électronique - robotique/électronique"
326;;"formation d'école spécialisée";"développeur de solutions digitales";;"1 an";32039;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.6974;"informatique, internet/développement - programmation -  logiciel| information-communication, audiovisuel/multimédia"
230;CAP;"Certificat d'aptitude professionnelle";"CAP Interventions en maintenance technique des bâtiments";;"2 ans";35696;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.7013;"construction - architecture - travaux publics/génie civil, construction (généralités)| matières premières, fabrication, industries/maintenance - qualité"
255;CTM;"certificat technique des métiers";"CTM installateur en équipements électriques";;"1 an";34417;5;"niveau 3 (niveau CAP)";"Chambres de métiers et de l'artisanat";http://www.onisep.fr/http/redirection/formation/slug/FOR.7380;"électricité - électronique - robotique/électrotechnique"
312;;"formation d'école spécialisée";"Responsable d'agence commerciale de service";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7388;"commerce, marketing, vente/marketing - vente"
335;DEUST;"diplôme d'études universitaires scientifiques et techniques";"DEUST Animation et gestion des activités physiques, sportives ou culturelles";AGAPSC;"2 ans";35955;3;"niveau 5 (bac + 2)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.757;"santé - social - sport/sport| santé - social - sport/travail social"
312;;"formation d'école spécialisée";"vendeur automobile";;"1 an";34344;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7573;"mécanique/automobile| commerce, marketing, vente/marketing - vente"
224;CAP;"Certificat d'aptitude professionnelle";"CAP Modèles et moules céramiques";;"2 ans";631;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.804;"arts, culture, artisanat/artisanat d'art| matières premières, fabrication, industries/céramique, composites| mécanique/travail des métaux"
312;;"formation d'école spécialisée";"Master of Science en design de l'offre et de l'innovation";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.800;"commerce, marketing, vente/marketing - vente"
212;CS;"certificat de spécialisation (agriculture)";"CS Conduite d'un élevage porcin";;"1 an";34677;4;"niveau 4 (bac ou équivalent)";"Ministère de l'Agriculture et de l'Alimentation";http://www.onisep.fr/http/redirection/formation/slug/FOR.975;"agriculture, animaux/élevage - aquaculture"
321;;"formation d'école spécialisée";"Community Management";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.982;"information-communication, audiovisuel/communication"
225;BTS;"brevet de technicien supérieur";"BTS Europlastics et composites option conception outillage";;"2 ans";35333;3;"niveau 5 (bac + 2)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.6177;"matières premières, fabrication, industries/céramique, composites| mécanique/mécanique (généralités)| matières premières, fabrication, industries/plasturgie"
134;;"formation d'école spécialisée";"MBA management des arts visuels management de projets et design interactif";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.6215;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/multimédia"
335;"BP JEPS";"brevet professionnel de la jeunesse, de l'éducation populaire et du sport";"BP JEPS spécialité éducateur sportif mention parachutisme option méthode traditionnelle";;"1 an";35901;4;"niveau 4 (bac ou équivalent)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.6279;"santé - social - sport/sport"
233;CAP;"Certificat d'aptitude professionnelle";"CAP Staffeur ornemaniste";;"2 ans";673;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.638;"arts, culture, artisanat/artisanat d'art| construction - architecture - travaux publics/génie civil, construction (généralités)| matières premières, fabrication, industries/mines et carrières"
335;DESJEPS;"diplôme d'Etat supérieur de la jeunesse, de l'éducation populaire et du sport";"DESJEPS spécialité performance sportive mention baseball, softball";;"2 ans";4911;2;"niveau 6 (bac + 3)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.6379;"santé - social - sport/sport"
335;DEJEPS;"diplôme d'Etat de la jeunesse, de l'éducation populaire et du sport";"DEJEPS perfectionnement sportif mention canoë-kayak et disciplines associées en eau calme";;"2 ans";4863;3;"niveau 5 (bac + 2)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.6464;"santé - social - sport/sport"
335;DEJEPS;"diplôme d'Etat de la jeunesse, de l'éducation populaire et du sport";"DEJEPS perfectionnement sportif mention volley-ball";;"2 ans";4863;3;"niveau 5 (bac + 2)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.6462;"santé - social - sport/sport"
